小波基,熵值,SNR(dB),RMSE
db1,6.9540692553393075,6.686096854884421,0.2208870386010485
db2,6.965556641687313,6.849522568263233,0.21676988491941196
db3,6.978692699311249,6.800977851026916,0.21798478566613624
db4,6.97647650246377,6.767678318462787,0.21882208889784696
db5,7.025530569552936,6.63134627088441,0.22228377408113592
db6,7.026987120240876,6.745333552400398,0.21938574135382127
db7,7.047056481778849,6.631660305465723,0.22227573765274813
db8,7.0681538552319205,6.546341245858259,0.22446984835428094
db9,7.070172154045178,6.4319405446671665,0.22744586632360314
db10,7.105449109129799,6.358055433591487,0.22938884980753235
